p11,p22
364,707
276,646
548,635
410,414
417,115
550,615
609,508
387,422
408,832
778,302
573,777
512,448
634,413
784,415
80,64
450,790
409,407
315,233
162,158
380,368
687,510
733,309
156,694
233,740
319,689
233,319
694,320
740,689
801,737
539,110
106,322
364,803
694,156
233,740
689,319
422,615
409,646
777,634
573,548
327,712
180,531
701,727
33,485
88,538
413,423
491,772
345,110
737,330
547,106
295,402
494,111
36,753
536,428
422,784
573,778
233,578
696,704
162,733
506,191
624,146
544,88
634,573
754,83
797,22
305,656
620,495
638,665
428,536
326,227
364,489
344,481
55,366
233,283
547,803
707,578
727,510
180,733
327,380
328,210
536,315
176,184
631,335
154,162
687,531
309,712
701,368
112,801
735,539
322,377
784,387
531,727
808,184
163,690
544,836
801,717
355,433
240,696
547,332
327,225
712,321
314,282
440,657
81,227
375,313
368,729
702,180
224,338
777,410
784,615
646,573
512,634
12,476
655,266
233,311
155,653
317,154
226,733
803,461
539,159
331,362
687,244
283,380
378,715
366,748
326,700
174,759
353,509
176,701
55,737
112,703
488,382
345,720
339,454
537,732
806,335
578,234
337,394
358,536
422,409
777,784
646,573
668,640
600,242
545,704
365,181
326,369
326,578
657,461
224,429
180,230
677,210
390,805
777,307
147,276
402,422
7,646
51,387
634,33
409,591
573,42
168,422
777,42
409,33
573,307
634,7
387,147
402,646
51,276
396,61
662,467
233,695
806,299
174,671
355,673
547,730
176,232
362,274
331,713
732,343
422,387
409,512
573,410
784,276
646,609
777,448
12,427
476,372
337,158
544,710
655,597
266,296
364,676
545,381
461,228
325,9
488,688
283,350
803,659
737,460
353,661
159,741
382,357
724,336
700,723
334,633
703,721
733,328
226,329
55,62
370,156
539,459
326,352
509,736
380,212
646,777
634,615
512,410
784,573
640,782
668,629
819,709
345,110
578,320
361,324
391,654
366,284
393,385
355,356
442,78
270,346
728,5
736,431
209,745
377,271
726,177
234,658
715,772
365,706
748,229
244,318
358,536
600,599
242,590
409,573
422,646
387,609
512,410
448,790
784,414
777,615
276,849
181,106
687,65
578,366
662,791
396,639
578,210
61,570
467,388
210,233
634,512
315,158
654,725
409,777
422,784
646,414
387,849
512,790
609,276
573,615
410,448
364,362
732,283
209,180
168,67
147,277
538,707
112,700
410,615
512,646
634,784
777,573
369,88
168,45
39,83
277,751
67,179
461,718
591,630
536,326
147,51
638,39
39,506
7,485
630,277
581,214
591,463
227,339
420,42
533,153
830,157
175,239
218,38
40,237
132,32
16,198
506,152
222,19
529,559
575,486
258,264
436,305
469,39
620,795
656,528
53,650
402,255
545,733
634,422
512,409
499,45
51,624
634,410
573,512
777,784
646,615
510,689
707,88
7,503
823,58
464,580
20,823
20,136
292,436
754,83
536,538
646,409
162,315
713,808
634,609
422,777
409,635
512,646
283,442
435,55
725,336
255,493
624,650
815,430
264,145
239,101
485,463
581,557
506,744
218,215
143,200
112,229
402,591
214,307
646,409
42,199
656,494
28,196
751,638
529,19
403,39
158,322
654,78
45,618
46,66
805,337
634,646
573,615
512,777
410,784
88,536
149,31
277,762
762,202
239,149
387,116
387,450
609,831
414,788
790,548
609,417
790,248
414,408
788,519
116,407
831,550
591,214
358,578
538,369
700,323
635,769
646,408
777,837
609,75
422,508
718,429
510,321
189,217
193,28
214,739
403,264
528,571
168,190
463,810
505,146
529,484
470,258
199,237
754,444
486,235
277,179
33,7
255,485
147,621
461,374
519,635
609,411
450,543
831,769
407,75
790,80
508,115
414,832
769,603
80,249
790,246
414,413
519,837
831,10
411,778
407,779
115,835
75,452
832,423
635,114
450,351
543,426
609,844
512,248
409,548
573,550
276,387
422,408
448,116
784,417
777,788
591,239
67,581
210,748
422,778
609,72
508,414
837,548
408,426
635,387
777,450
769,410
75,249
646,302
450,64
408,831
778,276
635,603
302,10
249,766
769,844
548,835
508,832
609,543
575,758
494,742
51,533
573,634
512,784
777,615
646,410
538,162
369,326
762,37
75,610
548,115
548,766
387,842
351,610
246,816
543,64
249,622
426,598
450,842
790,268
80,766
116,407
276,779
448,452
387,75
248,835
409,302
512,508
116,543
508,790
302,268
115,622
835,249
779,598
407,426
248,80
409,816
276,64
452,351
512,246
448,450
536,88
707,162
732,800
646,634
689,745
78,232
364,717
42,179
168,14
277,486
10,60
114,594
423,114
140,19
16,419
684,373
190,560
529,21
656,17
238,627
200,581
292,596
222,580
630,7
573,410
57,282
544,538
369,657
158,368
717,531
680,633
631,283
490,494
42,28
650,199
7,501
258,485
53,739
147,101
235,698
626,824
153,127
801,226
174,224
364,326
337,702
88,317
19,754
634,777
573,448
655,118
630,51
315,158
433,172
227,531
176,57
801,327
539,180
322,727
707,365
495,90
503,94
402,554
61,267
55,299
784,831
387,603
573,609
548,422
510,633
831,291
519,780
769,768
635,787
603,72
573,844
777,414
784,609
550,778
788,832
422,413
417,411
408,423
609,10
777,780
417,768
573,291
414,837
784,831
550,769
422,519
411,72
788,635
408,787
832,594
778,603
39,97
621,470
147,214
326,226
654,714
111,66
642,575
503,554
315,707
777,448
784,387
358,233
162,326
149,6
45,143
646,615
409,548
578,335
315,88
615,778
369,488
358,366
674,117
536,55
176,331
174,481
528,412
132,496
684,564
193,145
578,78
538,326
573,778
634,615
777,646
448,512
656,20
39,222
553,464
19,638
123,522
364,633
174,536
88,162
410,635
176,326
801,536
174,631
162,702
328,545
547,701
531,330
345,712
236,365
300,582
33,485
531,283
57,314
707,158
538,55
657,344
735,510
733,112
236,53
582,196
368,110
687,106
737,309
603,406
422,410
615,387
831,508
609,248
635,448
